name,Region,Country,Vintage,Producer,Wine Variety,Grape Variety,Price ($),Average Rating,ABV,Log Price,Age
Famille Perrin Cotesdurhone Reserve Rouge 2017,Cotesdurhone,France,2017,Famille Perrin,White,Unknown,9.66,3.7,,2.2679936482244267,7
Casa De Santar Dao Reserva 2014,Dao,Portugal,2014,Casa De Santar,Rose,Unknown,18.43,3.9,,2.913979771681732,10
Fetzer Valley Oaks Cabernet Sauvignon 2018,California,United States,2018,Fetzer,Sparkling,Cabernet Sauvignon,9.25,3.7,,2.224623551524334,6
Elena Walch Lagrein Selezione 2019,Sudtirol Alto Adige,Italy,2019,Elena Walch,Sparkling,Lagrein,15.03,3.7,,2.710048203764883,5
La Crema Willamette Valley Pinot Noir 2019,Willamette Valley,United States,2019,La Crema,Red,Pinot Noir,27.1,4.2,13.5,3.299533727885655,5
Pelissero Dolcetto Dalba Munfrina 2017,Dolcetto Dalba,Italy,2017,Pelissero,Red,Dolcetto,22.99,3.7,,3.1350593387750902,7
Brassfield Cabernet Sauvignon 2017,Other,United States,2017,Brassfield,Red,Cabernet Sauvignon,29.99,4.0,,3.4008639927609177,7
Banrock Station Shiraz 2019,South Eastern Australia,Australia,2019,Banrock Station,Rose,Shiraz,6.3,4.1,,1.8405496333974871,5
Col Solare Red 2013,Other,United States,2013,Col Solare,Red,Unknown,81.37,4.2,,4.399006654708566,11
Intruso Garnacha 2018,Calatayud,Spain,2018,Intruso,Rose,Garnacha,7.59,3.9,,2.0268315914075385,6
Teso La Monja Almirez 2015,Toro,Spain,2015,Teso La Monja,Red,Unknown,17.25,3.9,,2.847812143477369,9
Winzergenossenschaft Mayschossaltenahr Spatburgunder Trocken 2017,Ahr,Germany,2017,Winzergenossenschaft Mayschossaltenahr,Red,Unknown,10.31,3.8,,2.3331142980288684,7
Latium Morini Campo Prognai Valpolicella Superiore 2012,Valpolicella,Italy,2012,Latium Morini,White,Unknown,21.65,4.0,,3.075005454448499,12
Substance Cabernet Sauvignon Cs 2017,Columbia Valley,United States,2017,Substance,Red,Cabernet Sauvignon,25.93,3.7,,3.255400599550573,7
Elvio Cogno Barolo Cascina Nuova 2015,Barolo,Italy,2015,Elvio Cogno,White,Barolo,34.72,3.9,,3.547315889792149,9
Ktima Gerovassiliou Red 2018,Other,Greece,2018,Ktima Gerovassiliou,Red,Unknown,18.7,3.9,,2.928523523860541,6
Aristocratico Valpolicella Ripasso 2014,Valpolicella Ripasso,Italy,2014,Aristocratico,Rose,Unknown,13.55,3.7,,2.6063865473257097,10
Celler Pinol Raig De Raim Negre 2017,Terra Alta,Spain,2017,Celler Pinol,Red,Unknown,8.45,3.5,,2.134166441369082,7
Barramundi Shiraz 2018,South Eastern Australia,Australia,2018,Barramundi,Sparkling,Shiraz,7.05,3.2,,1.9530276168241767,6
Stemmari Nero Davola 2017,Sicilia,Italy,2017,Stemmari,Sparkling,Nero Davola,5.64,3.7,,1.7298840655099674,7
Volver Tarima Hill Old Vines Monastrell 2016,Alicante,Spain,2016,Volver,Red,Monastrell,15.95,3.9,,2.769458829230853,8
The Kings Series The Kings Wrath Pinot Noir 2017,Marlborough,New Zealand,2017,The Kings Series,Rose,Pinot Noir,25.93,3.5,,3.255400599550573,7
Mas Doix Salanques Priorat 2017,Priorat,Spain,2017,Mas Doix,Sparkling,Unknown,31.2,4.0,,3.4404180948154366,7
Taraval Cabernet Sauvignon 2016,Napa Valley,United States,2016,Taraval,Red,Cabernet Sauvignon,24.99,3.6,,3.2184757448468613,8
Domaine Bousquet Virgen 2019,Tupungato,Argentina,2019,Domaine Bousquet,Red,Unknown,10.57,3.5,,2.3580197998821464,5
Julia Bertram Dernauer Spatburgunder 2016,Ahr,Germany,2016,Julia Bertram,Sparkling,Unknown,21.59,3.9,,3.072230244526716,8
Banfi Aska Bolgheri 2014,Bolgheri,Italy,2014,Banfi,Red,Unknown,26.61,3.8,,3.281287084989598,10
